Date,Store_ID,Product_ID,Category,Units_Sold,Price_Per_Unit,Total_Sales
2019-01-24,116,808,Owned Brand Fashion,5,248.05,1240.25
2019-02-21,232,586,Watches,13,93.69,1217.97
2020-06-23,538,664,Electronics,11,270.78,2978.58
2023-05-10,643,3,Beauty,12,12.6,151.2
2021-07-13,279,305,Imported Fashion,7,213.3,1493.1
2019-06-16,339,113,Beauty,6,267.13,1602.78
2022-02-15,679,427,Imported Fashion,15,482.94,7244.1
2021-04-13,154,366,Beauty,16,84.96,1359.36
2019-01-29,254,965,Owned Brand Fashion,3,417.1,1251.3
2020-08-05,656,815,Watches,5,22.98,114.9
2022-09-02,160,322,Owned Brand Fashion,9,309.25,2783.25
2021-09-25,138,237,Electronics,1,42.58,42.58
2022-06-20,436,760,Electronics,1,173.68,173.68
2023-03-07,389,968,Imported Fashion,13,237.85,3092.05
2019-03-10,528,678,Imported Fashion,16,286.96,4591.36
2020-01-06,421,342,Beauty,5,221.18,1105.9
2020-04-26,576,173,Watches,18,327.66,5897.88
2021-11-10,697,537,Electronics,11,235.09,2585.99
2022-06-27,162,322,Imported Fashion,5,122.97,614.85
2022-07-12,95,10,Beauty,15,498.36,7475.4
2022-07-13,126,92,Beauty,17,157.44,2676.48
2019-10-30,371,774,Electronics,5,93.05,465.25
2022-04-11,671,963,Imported Fashion,4,26.53,106.12
2020-05-15,409,813,Owned Brand Fashion,12,376.4,4516.8
2023-11-20,171,52,Imported Fashion,14,341.0,4774.0
2020-09-09,417,140,Beauty,1,194.09,194.09
2022-08-09,421,780,Electronics,17,108.74,1848.58
2020-02-17,108,681,Watches,18,242.65,4367.7
2019-05-02,382,939,Owned Brand Fashion,17,175.76,2987.92
2021-08-25,184,828,Owned Brand Fashion,13,224.22,2914.86
2019-11-03,446,797,Electronics,8,141.91,1135.28
2020-07-10,472,531,Beauty,14,492.48,6894.72
2023-12-18,491,926,Watches,19,364.54,6926.26
2022-05-22,302,557,Beauty,4,18.2,72.8
2023-12-23,731,875,Electronics,17,392.07,6665.19
2019-02-17,320,399,Imported Fashion,14,12.47,174.58
2019-01-31,114,154,Watches,13,24.5,318.5
2019-03-29,8,655,Imported Fashion,15,176.55,2648.25
2021-06-14,240,486,Owned Brand Fashion,10,398.53,3985.3
2019-11-07,357,540,Beauty,4,393.4,1573.6
2020-05-26,207,121,Electronics,6,158.03,948.18
2022-12-29,427,427,Imported Fashion,5,343.03,1715.15
2019-08-08,436,440,Owned Brand Fashion,18,296.21,5331.78
2023-08-02,433,488,Imported Fashion,3,96.95,290.85
2019-07-27,311,707,Electronics,6,210.64,1263.84
2020-09-24,489,177,Owned Brand Fashion,18,354.12,6374.16
2020-11-26,85,653,Owned Brand Fashion,13,246.51,3204.63
2021-12-08,693,55,Owned Brand Fashion,16,267.59,4281.44
2021-01-29,739,160,Electronics,4,220.73,882.92
2019-04-03,655,300,Watches,11,347.03,3817.33
2022-11-06,433,725,Watches,12,454.43,5453.16
2020-10-31,383,181,Electronics,3,102.17,306.51
2023-02-28,425,756,Owned Brand Fashion,8,42.59,340.72
2022-01-19,698,650,Beauty,19,43.86,833.34
2023-09-11,442,120,Imported Fashion,5,328.65,1643.25
2022-07-02,393,520,Imported Fashion,10,210.14,2101.4
2020-02-28,741,727,Imported Fashion,14,121.81,1705.34
2021-07-20,685,581,Watches,5,121.4,607.0
2023-05-24,164,988,Imported Fashion,13,247.35,3215.55
2023-06-28,32,801,Electronics,11,43.07,473.77
2020-08-09,523,531,Imported Fashion,13,367.36,4775.68
2021-02-28,258,824,Electronics,4,372.97,1491.88
2022-09-12,622,989,Watches,17,83.12,1413.04
2022-02-13,483,109,Electronics,1,81.54,81.54
2023-02-14,563,618,Owned Brand Fashion,1,471.82,471.82
2020-02-12,43,804,Imported Fashion,12,415.89,4990.68
2023-05-28,15,110,Imported Fashion,4,441.98,1767.92
2019-05-23,688,102,Imported Fashion,14,46.46,650.44
2019-08-04,303,751,Electronics,15,159.42,2391.3
2020-07-08,372,803,Watches,7,384.97,2694.79
2019-06-03,166,671,Imported Fashion,7,368.85,2581.95
2019-10-06,51,518,Electronics,14,47.11,659.54
2020-05-22,73,488,Imported Fashion,7,113.06,791.42
2020-09-29,256,48,Watches,5,94.74,473.7
2020-11-25,691,817,Watches,19,448.3,8517.7
2021-02-04,281,120,Beauty,4,196.37,785.48
2019-07-13,463,146,Owned Brand Fashion,2,322.43,644.86
2022-05-09,649,789,Electronics,18,409.33,7367.94
2022-11-12,418,449,Owned Brand Fashion,3,135.21,405.63
2021-12-03,162,977,Imported Fashion,7,299.97,2099.79
2022-04-18,305,93,Imported Fashion,7,469.87,3289.09
2021-11-14,734,882,Imported Fashion,3,7.96,23.88
2020-04-20,74,381,Imported Fashion,18,191.46,3446.28
2023-12-31,215,319,Owned Brand Fashion,9,149.62,1346.58
2022-07-06,216,445,Owned Brand Fashion,4,169.54,678.16
2020-10-14,288,580,Electronics,9,372.48,3352.32
2020-06-01,737,363,Electronics,12,213.74,2564.88
2022-03-31,165,233,Owned Brand Fashion,15,135.38,2030.7
2022-12-04,526,541,Imported Fashion,5,276.02,1380.1
2019-02-16,475,942,Electronics,17,337.1,5730.7
2019-04-29,421,83,Owned Brand Fashion,13,336.72,4377.36
2023-09-09,790,636,Imported Fashion,16,90.68,1450.88
2021-10-22,746,792,Owned Brand Fashion,5,250.81,1254.05
2022-10-07,639,375,Owned Brand Fashion,11,497.47,5472.17
2020-07-08,247,860,Imported Fashion,12,202.15,2425.8
2020-04-22,45,361,Electronics,7,461.99,3233.93
2021-08-24,169,115,Owned Brand Fashion,19,357.17,6786.23
2019-11-29,341,359,Watches,2,133.35,266.7
2023-07-08,625,388,Beauty,9,417.16,3754.44
2019-09-25,691,233,Imported Fashion,3,370.84,1112.52
2020-06-30,191,384,Owned Brand Fashion,13,217.39,2826.07
2023-04-27,282,956,Owned Brand Fashion,14,186.97,2617.58
2020-05-23,383,380,Beauty,14,334.77,4686.78
2022-07-04,425,252,Watches,6,296.79,1780.74
2022-04-26,746,300,Watches,6,332.41,1994.46
2020-02-10,49,515,Watches,1,150.91,150.91
2023-10-07,550,412,Electronics,17,285.0,4845.0
2020-01-03,568,626,Owned Brand Fashion,14,458.3,6416.2
2019-12-13,506,311,Electronics,6,397.09,2382.54
2021-01-01,111,328,Electronics,17,94.1,1599.7
2019-01-14,251,471,Watches,16,350.13,5602.08
2020-06-01,132,908,Imported Fashion,1,104.8,104.8
2021-07-07,773,415,Beauty,6,363.63,2181.78
2021-04-13,16,685,Watches,12,188.23,2258.76
2020-10-01,497,957,Watches,4,47.67,190.68
2023-01-11,797,791,Electronics,1,133.59,133.59
2021-10-24,727,202,Owned Brand Fashion,9,6.75,60.75
2020-08-13,252,996,Owned Brand Fashion,13,392.88,5107.44
2023-08-01,641,684,Electronics,3,226.16,678.48
2023-01-23,450,604,Owned Brand Fashion,13,212.74,2765.62
2021-02-14,537,568,Beauty,3,211.15,633.45
2023-11-30,309,297,Watches,14,315.49,4416.86
2020-08-11,95,837,Imported Fashion,17,159.6,2713.2
2022-11-29,387,617,Beauty,12,15.17,182.04
2021-12-28,486,483,Imported Fashion,2,92.29,184.58
2022-01-04,345,750,Electronics,15,473.92,7108.8
2022-01-27,719,172,Imported Fashion,13,50.37,654.81
2022-10-05,503,981,Beauty,2,381.73,763.46
2020-07-12,140,137,Electronics,3,239.21,717.63
2021-06-13,575,191,Imported Fashion,17,33.64,571.88
2023-03-09,128,698,Electronics,6,98.26,589.56
2021-08-03,152,437,Electronics,6,253.17,1519.02
2020-04-30,229,915,Watches,2,65.92,131.84
2019-04-30,203,597,Beauty,4,333.01,1332.04
2019-08-11,624,78,Imported Fashion,2,217.14,434.28
2021-07-02,430,427,Imported Fashion,11,416.38,4580.18
2020-06-26,741,150,Electronics,5,430.17,2150.85
2023-08-25,530,409,Beauty,18,331.15,5960.7
2019-02-06,144,487,Watches,8,44.21,353.68
2022-05-07,61,430,Watches,3,365.96,1097.88
2020-04-01,377,788,Imported Fashion,13,495.02,6435.26
2022-07-08,185,250,Imported Fashion,17,479.69,8154.73
2021-11-10,111,730,Imported Fashion,4,241.7,966.8
2020-02-16,436,192,Beauty,4,412.19,1648.76
2022-03-13,364,200,Watches,5,452.48,2262.4
2020-01-02,666,45,Beauty,4,455.92,1823.68
2023-05-27,58,607,Watches,18,54.98,989.64
2021-07-13,503,363,Imported Fashion,3,232.28,696.84
2022-12-11,765,540,Beauty,12,81.37,976.44
2020-09-06,589,65,Beauty,18,245.76,4423.68
2022-10-10,217,42,Beauty,12,180.87,2170.44
2019-04-27,461,740,Imported Fashion,15,494.6,7419.0
2023-11-26,538,410,Electronics,16,366.37,5861.92
2023-08-11,598,891,Electronics,13,368.55,4791.15
2023-04-19,727,315,Electronics,14,179.32,2510.48
2023-08-09,382,549,Electronics,15,299.86,4497.9
2020-01-20,216,156,Electronics,5,151.26,756.3
2021-12-18,776,12,Owned Brand Fashion,1,300.18,300.18
2019-07-13,567,334,Beauty,2,364.4,728.8
2020-10-31,203,960,Watches,11,155.86,1714.46
2020-01-31,389,434,Imported Fashion,2,178.53,357.06
2022-05-09,535,168,Imported Fashion,18,50.65,911.7
2022-07-29,67,263,Watches,16,349.09,5585.44
2019-02-12,573,310,Owned Brand Fashion,6,215.42,1292.52
2022-02-05,704,78,Owned Brand Fashion,5,428.37,2141.85
2021-03-22,497,540,Electronics,10,468.25,4682.5
2022-09-25,480,544,Watches,6,217.79,1306.74
2021-12-21,536,901,Imported Fashion,12,90.92,1091.04
2019-07-31,424,314,Beauty,5,479.7,2398.5
2020-11-29,166,946,Beauty,4,70.59,282.36
2022-05-16,4,443,Imported Fashion,2,174.66,349.32
2023-05-15,774,990,Owned Brand Fashion,2,74.86,149.72
2023-12-10,41,692,Beauty,8,403.69,3229.52
2021-06-26,372,799,Watches,15,397.62,5964.3
2021-07-16,475,728,Watches,12,263.93,3167.16
2020-12-17,324,917,Owned Brand Fashion,6,18.63,111.78
2021-10-03,331,193,Electronics,10,317.06,3170.6
2023-12-23,170,91,Watches,18,408.61,7354.98
2023-06-05,538,803,Beauty,1,165.48,165.48
2023-06-13,563,175,Imported Fashion,16,226.82,3629.12
2023-02-04,160,902,Beauty,14,259.64,3634.96
2019-06-15,725,791,Electronics,5,317.98,1589.9
2019-04-19,435,454,Imported Fashion,15,341.47,5122.05
2023-03-05,606,821,Watches,7,180.25,1261.75
2022-01-06,782,680,Owned Brand Fashion,11,337.34,3710.74
2021-06-23,260,109,Beauty,10,233.62,2336.2
2023-01-03,629,124,Beauty,2,409.63,819.26
2019-01-02,495,51,Beauty,2,301.04,602.08
2020-04-14,704,852,Watches,3,442.82,1328.46
2023-05-01,109,904,Owned Brand Fashion,18,35.07,631.26
2021-11-17,97,882,Beauty,19,25.78,489.82
2022-01-16,257,500,Beauty,15,121.26,1818.9
2022-06-23,278,443,Owned Brand Fashion,3,379.41,1138.23
2022-02-24,50,875,Watches,2,477.64,955.28
2020-08-02,661,669,Owned Brand Fashion,4,305.5,1222.0
2019-06-08,77,24,Imported Fashion,17,256.01,4352.17
2022-11-04,713,79,Watches,1,97.3,97.3
2019-04-14,801,39,Electronics,1,362.01,362.01
2022-05-25,180,713,Beauty,9,493.59,4442.31
2021-03-17,345,198,Electronics,13,77.41,1006.33
2020-07-18,515,509,Imported Fashion,10,130.38,1303.8
2019-04-02,740,487,Watches,8,17.87,142.96
2019-11-12,779,942,Watches,8,291.57,2332.56
2020-07-12,489,344,Electronics,5,133.33,666.65
2019-04-16,568,427,Imported Fashion,1,78.52,78.52
2019-11-23,801,979,Imported Fashion,2,82.06,164.12
2019-08-07,565,995,Owned Brand Fashion,11,360.49,3965.39
2022-12-04,707,399,Watches,18,302.25,5440.5
2023-09-28,423,863,Owned Brand Fashion,1,399.38,399.38
2020-09-23,251,817,Electronics,15,383.45,5751.75
2021-01-31,480,68,Watches,14,342.08,4789.12
2021-02-27,379,828,Beauty,13,42.83,556.79
2023-06-21,223,398,Electronics,18,75.28,1355.04
2022-10-21,238,221,Owned Brand Fashion,6,284.16,1704.96
2023-07-13,61,229,Watches,2,182.99,365.98
2020-06-20,204,821,Beauty,15,168.64,2529.6
2023-06-03,150,489,Owned Brand Fashion,4,315.9,1263.6
2023-09-01,714,189,Imported Fashion,11,100.42,1104.62
2022-05-31,577,901,Electronics,12,295.86,3550.32
2020-04-24,496,858,Owned Brand Fashion,19,298.45,5670.55
2020-04-01,254,10,Electronics,3,331.46,994.38
2022-11-30,718,832,Owned Brand Fashion,18,274.3,4937.4
2022-09-11,193,594,Beauty,16,197.51,3160.16
2023-04-23,221,713,Beauty,8,475.94,3807.52
2020-01-11,49,384,Owned Brand Fashion,19,31.28,594.32
2019-04-19,329,123,Beauty,9,129.69,1167.21
2019-03-14,269,849,Electronics,14,318.15,4454.1
2023-06-01,701,395,Beauty,19,383.01,7277.19
2019-05-30,567,869,Electronics,16,151.94,2431.04
2021-03-23,523,956,Owned Brand Fashion,1,146.71,146.71
2022-01-28,624,244,Beauty,16,158.31,2532.96
2021-07-20,752,856,Beauty,17,52.02,884.34
2019-04-21,446,439,Beauty,4,469.35,1877.4
2022-03-19,121,977,Owned Brand Fashion,1,87.88,87.88
2023-01-24,433,79,Beauty,12,56.78,681.36
2020-11-25,217,155,Owned Brand Fashion,15,244.29,3664.35
2022-03-24,503,596,Owned Brand Fashion,8,337.59,2700.72
2019-11-17,94,582,Electronics,10,173.91,1739.1
2020-07-12,260,864,Beauty,15,379.9,5698.5
2022-08-15,521,872,Electronics,12,462.27,5547.24
2023-11-20,754,783,Imported Fashion,3,249.44,748.32
2020-05-04,160,499,Watches,19,277.1,5264.9
2023-02-12,361,152,Beauty,10,345.71,3457.1
2023-08-13,21,380,Beauty,15,410.34,6155.1
2019-06-21,172,334,Imported Fashion,7,214.98,1504.86
2022-08-28,745,465,Imported Fashion,6,71.0,426.0
2020-04-30,489,984,Electronics,4,267.65,1070.6
2022-03-14,516,350,Beauty,11,72.77,800.47
2019-08-03,127,610,Watches,3,313.5,940.5
2021-10-06,721,259,Imported Fashion,7,342.99,2400.93
2023-10-23,41,851,Owned Brand Fashion,17,156.45,2659.65
2019-09-24,219,219,Imported Fashion,5,261.37,1306.85
2021-10-03,697,445,Electronics,8,389.31,3114.48
2023-07-29,395,316,Owned Brand Fashion,2,64.77,129.54
2023-08-03,619,153,Electronics,3,90.42,271.26
2019-06-18,97,40,Beauty,2,355.16,710.32
2019-11-18,152,435,Beauty,3,438.43,1315.29
2019-09-02,33,715,Owned Brand Fashion,10,476.46,4764.6
2021-10-03,299,909,Owned Brand Fashion,4,111.79,447.16
2022-04-02,528,707,Imported Fashion,15,420.04,6300.6
2022-03-31,746,330,Beauty,17,320.55,5449.35
2022-05-27,776,920,Watches,14,267.27,3741.78
2020-11-09,345,350,Electronics,10,58.17,581.7
2020-06-05,617,25,Electronics,17,441.14,7499.38
2022-06-08,239,14,Watches,4,178.3,713.2
2019-08-01,128,920,Watches,4,39.48,157.92
2020-03-07,637,170,Electronics,11,83.52,918.72
2021-05-05,528,868,Watches,12,284.07,3408.84
2020-04-30,608,894,Electronics,16,103.77,1660.32
2021-03-21,399,387,Beauty,13,149.23,1939.99
2019-09-27,269,402,Owned Brand Fashion,15,221.27,3319.05
2023-11-27,22,781,Owned Brand Fashion,16,329.24,5267.84
2019-11-12,754,213,Beauty,2,252.68,505.36
2022-07-22,41,481,Owned Brand Fashion,12,112.16,1345.92
2021-07-26,147,530,Electronics,10,400.08,4000.8
2019-08-02,297,968,Beauty,18,370.28,6665.04
2019-06-29,76,895,Imported Fashion,18,424.63,7643.34
2023-12-09,777,514,Watches,8,356.04,2848.32
2020-05-03,464,548,Electronics,18,472.21,8499.78
2020-08-23,305,687,Owned Brand Fashion,18,9.42,169.56
2022-12-19,396,123,Imported Fashion,19,490.73,9323.87
2022-06-13,298,21,Beauty,11,197.56,2173.16
2021-07-09,92,540,Beauty,4,409.61,1638.44
2022-09-12,384,172,Watches,7,341.03,2387.21
2020-10-24,749,91,Watches,17,163.45,2778.65
2021-11-06,398,359,Owned Brand Fashion,15,228.58,3428.7
2023-01-27,463,568,Imported Fashion,8,173.22,1385.76
2020-12-26,568,495,Electronics,2,29.37,58.74
2020-06-25,172,228,Imported Fashion,11,117.39,1291.29
2019-12-03,531,503,Watches,9,33.29,299.61
2019-07-12,18,720,Electronics,17,20.49,348.33
2020-03-06,76,436,Owned Brand Fashion,15,280.65,4209.75
2022-11-10,256,192,Owned Brand Fashion,3,43.86,131.58
2020-03-20,805,312,Owned Brand Fashion,3,301.07,903.21
2023-08-20,600,217,Owned Brand Fashion,18,171.47,3086.46
2023-04-25,366,610,Watches,19,319.51,6070.69
2023-09-29,293,606,Imported Fashion,18,100.67,1812.06
2021-08-13,424,352,Watches,6,71.72,430.32
2023-12-13,43,487,Owned Brand Fashion,2,87.88,175.76
2021-10-25,240,183,Electronics,1,119.89,119.89
2019-07-30,747,28,Beauty,14,328.88,4604.32
2021-05-30,155,484,Electronics,14,128.31,1796.34
2022-11-30,322,222,Owned Brand Fashion,9,155.3,1397.7
2022-09-02,783,618,Imported Fashion,10,162.17,1621.7
2020-11-06,34,328,Electronics,8,24.59,196.72
2019-01-06,377,623,Imported Fashion,4,35.88,143.52
2021-08-26,705,792,Electronics,14,150.2,2102.8
2023-04-13,137,763,Beauty,15,99.85,1497.75
2022-03-18,490,56,Electronics,3,244.11,732.33
2020-02-04,56,781,Owned Brand Fashion,7,432.46,3027.22
2020-12-05,492,807,Beauty,11,355.65,3912.15
2022-05-27,460,935,Imported Fashion,12,134.63,1615.56
2021-08-06,365,287,Imported Fashion,7,81.06,567.42
2019-11-27,1,138,Owned Brand Fashion,6,82.71,496.26
2019-09-10,590,168,Electronics,6,424.4,2546.4
2023-09-08,409,622,Electronics,6,308.16,1848.96
2021-02-11,224,451,Imported Fashion,18,158.58,2854.44
2022-01-07,761,96,Owned Brand Fashion,10,269.67,2696.7
2023-09-27,564,929,Watches,7,430.66,3014.62
2023-10-14,786,546,Watches,4,450.14,1800.56
2020-10-10,405,776,Imported Fashion,12,353.42,4241.04
2019-05-19,117,631,Beauty,12,471.02,5652.24
2023-10-28,702,53,Beauty,17,237.92,4044.64
2020-12-10,200,583,Imported Fashion,16,45.77,732.32
2023-08-09,513,641,Watches,3,357.08,1071.24
2023-07-09,287,813,Watches,15,19.06,285.9
2021-02-13,80,123,Imported Fashion,10,483.06,4830.6
